labels,text
Cevre_Etkisi_Karsilastirma,Kıyafetin yaşam döngüsü boyunca çevresel etkisi hangi aşamada en fazladır?
Cevre_Etkisi_Karsilastirma,Kapsül gardırop yaklaşımı çevreye ne gibi katkılar sağlar?
Yonetmelik_Politika,Hangi durumlarda çevre denetimi sonucu üretim durdurulabilir?
Yonetmelik_Politika,Çevre denetimleri hangi kriterlere göre yapılıyor?
Malzeme_Karbon_Ayak_Izi,Kıyafetimin karbon ayak izini nasıl öğrenebilirim?
Etiketleme_Sorusu,"Etiketinde geri dönüştürülmüş malzeme kullanıldığı yazıyor, bu üretim sürecini nasıl etkiler?"
Selamlama,Yeni aldığım montun karbon ayak izi yüksek olabilir mi?
Malzeme_Karbon_Ayak_Izi,Kumaş türü ile karbon salınımı arasında nasıl bir ilişki vardır?
Vedalasma,Daha sonra konuşuruz
Yanlis_Bilgi_Duzeltme,Bu bilgi güncelliğini yitirmiş olabilir.
Bilinclendirme,Geri dönüştürülmüş kumaşlar sürdürülebilirliğe katkı sunar
Uretim_Sureci,Boya işlemi çevreye zararlı mı?
Yonetmelik_Politika,Sürdürülebilir üretime geçen tekstil firmalarına sağlanan özel teşvikler neler?
Malzeme_Turu,Kumaşın pamuk oranı nedir?
Selamlama,Yardımcı olabilir misin?
Etiketleme_Sorusu,Giysinin etiketinde “sürdürülebilir kaynaklardan elde edilmiştir” yazıyor ama hangi kaynaklar?
Etiketleme_Sorusu,Bu ürünün etiketini nasıl analiz edebilirim?
Vedalasma,"Çevre hakkında bu kadar şey öğrenmeyi beklemiyordum, teşekkür ederim."
Vedalasma,Sorularınız olursa tekrar beklerim.
Yonetmelik_Politika,Tekstil sektöründe geçerli olan sürdürülebilirlik yönetmelikleri nelerdir?
Oneri_Alternatif,Lif geri dönüşümünde hangi yöntemler kullanılır?
Yanlis_Bilgi_Duzeltme,Bu söylem yaygın ama yanlıştır.
Geri_Donusum,Geri dönüşüm sürecinde enerji kullanımı nasıldır?
Oneri_Alternatif,Atık suyu azaltan üretim süreçleri neler olabilir?
Surdurulebilirlik_Tanimi,Tekstil üretiminde iş gücüne ve çevreye zarar vermeyen yöntemler var mı?
Vedalasma,"Bu değerli bilgiler için teşekkür ederim, hoşça kal!"
Malzeme_Turu,Kumaşın mat mı parlak mı olması çevresel etkisini değiştirir mi?
Karbon_Ayak_İzi_Hesaplama,Üretimde su ve enerji tüketimi karbon ayak izinin neresinde duruyor?
Malzeme_Karbon_Ayak_Izi,Sentetik kumaşların çevresel etkileri nelerdir?
Surdurulebilirlik_Tanimi,Bir tekstil markasının sürdürülebilirlik taahhüdü ne kadar güvenilir olabilir?
Karbon_Ayak_İzi_Hesaplama,Geri dönüştürülmüş malzemeler daha düşük emisyona mı neden olur?
Cevre_Etkisi_Karsilastirma,Doğal kurutma mı yoksa endüstriyel kurutma mı çevre için daha uygun?
Geri_Donusum,Tekstil geri dönüşümü iklim değişikliğine karşı etkili midir?
Geri_Donusum,Geri dönüşüm odaklı çalışan Türk markaları var mı?
Surdurulebilirlik_Tanimi,Gelecek nesiller için kaynakları nasıl koruyabiliriz?
Surdurulebilirlik_Tanimi,Sürdürülebilir ürün ne demektir?
Teknik_Tekstil,Tıbbi bandajlar teknik tekstil örneği midir?
Vedalasma,"Hoşça kal, bu sohbet gerçekten ufkumu açtı."
Surdurulebilirlik_Tanimi,Çevreye zarar vermemek için daha az tüketim yapmamız gerektiğini düşünüyor musunuz?
Bilinclendirme,"Moda tercihlerimiz, iklim değişikliğiyle doğrudan bağlantılıdır."
Bilinclendirme,Daha az ama daha iyi giysi satın almanın çevreye etkisi nedir?
Uretim_Sureci,Geleneksel üretimle modern üretim farkları nelerdir?
Vedalasma,Güzel kalın.
Karbon_Ayak_İzi_Hesaplama,Giysilerle ilgili karbon ayak izini anlamanın kolay bir yolu var mı?
Teknik_Tekstil,Akıllı tekstiller hangi teknolojilerle geliştirilir?
Surdurulebilirlik_Tanimi,Tekstil markalarının çevre dostu üretim süreçleri hakkında nasıl bilgi verebiliriz?
Yanlis_Bilgi_Duzeltme,Bu genelleme hatalı olabilir.
Oneri_Alternatif,Selülozik elyaflar sürdürülebilir mi?
Uretim_Sureci,Bir ürünün yapımında geri dönüştürülmüş malzeme kullanılması neyi değiştiriyor?
Surdurulebilirlik_Tanimi,Doğal kaynakları daha verimli kullanmak için neler yapılabilir?
Teknik_Tekstil,Isı transferini kontrol eden tekstil teknolojileri var mı?
Malzeme_Karbon_Ayak_Izi,"Renkli kumaşların boyanma süreci, karbon ayak izini renge göre değiştirir mi?"
Geri_Donusum,Geri dönüştürülmüş tekstiller dekorasyonda kullanılabilir mi?
Surdurulebilirlik_Tanimi,"Sürdürülebilirlik deyince sadece çevre mi akla gelmeli, yoksa başka boyutları da var mı?"
Karbon_Ayak_İzi_Hesaplama,Karbon ayak izini azaltan tekstil markaları var mı?
Yanlis_Bilgi_Duzeltme,Bu tanım eksik ya da yanlı olabilir.
Oneri_Alternatif,GOTS sertifikalı ürünlere alternatif önerir misin?
Oneri_Alternatif,Hayvansal olmayan deri alternatifleri neler?
Geri_Donusum,Geri dönüştürülmüş elyafla kaliteli ürün yapılabilir mi?
Teknik_Tekstil,Teknik tekstillerin doğaya etkisi var mı?
Bilinclendirme,"Bu ürün etik olarak üretilmiş mi, nasıl anlarım?"
Yanlis_Bilgi_Duzeltme,Aslında durum düşündüğünüzden farklı.
Bilinclendirme,"Bu kadar bilgi arasında hangisine güvenmeliyim, gerçekten sürdürülebilir ürün nasıl seçilir?"
Etiketleme_Sorusu,"Etiket, işçilerin çalışma koşulları hakkında da bilgi verebilir mi?"
Yanlis_Bilgi_Duzeltme,Çevreci ürün etiketi tek başına yeterli değildir.
Vedalasma,Yardımcı olabildiysem memnun oldum.
Bilinclendirme,Lifin doğal olması her zaman iyi midir?
Karbon_Ayak_İzi_Hesaplama,Ayakkabılarımın karbon ayak izini nasıl hesaplayabilirim?
Yanlis_Bilgi_Duzeltme,Karbon ayak izi hesaplama sadece sanayi için geçerli değil mi?
Bilinclendirme,"Organik pamuk üretimi, pestisit kullanımını azaltarak ekosistemi korur."
Selamlama,Doğa seninle daha güzel!
Etiketleme_Sorusu,"Etiket, tüketiciyi yeterince bilgilendiriyor mu?"
Oneri_Alternatif,Tekstil ürünleri için karbon etiketi aramalı mıyım?
Vedalasma,Yarın görüşmek üzere.
Etiketleme_Sorusu,Etiketler üretim sürecinin şeffaf olduğunu gösterir mi?
Vedalasma,Sohbet için teşekkür ederim.
Etiketleme_Sorusu,Etiketleme tüketiciye ne kazandırır?
Vedalasma,Seninle konuşmak güzeldi
Uretim_Sureci,Su tüketimi tekstil sektöründe neden bu kadar önemli?
Malzeme_Karbon_Ayak_Izi,Sürdürülebilir kumaşlar karbon salımında ne kadar avantaj sağlar?
Malzeme_Turu,Tencel üretimi sırasında kimyasal kullanılıyor mu?
Cevre_Etkisi_Karsilastirma,Petrol bazlı elyafların çevre üzerindeki en büyük etkisi nedir?
Vedalasma,"Teşekkür ederim, gerçekten çok şey öğrendim."
Surdurulebilirlik_Tanimi,Tüketiciler tekstil alışverişlerinde çevre dostu tercihleri nasıl yapabilir
Yonetmelik_Politika,Devlet sürdürülebilir moda için ne yapıyor?
Uretim_Sureci,Kıyafet üretiminde en çok hangi kaynaklar kullanılıyor?
Bilinclendirme,Moda sektörünün çevreye etkisi sanırım düşündüğümden büyük.
Karbon_Ayak_İzi_Hesaplama,Yıkanabilir kumaşlar uzun ömürlü olduğu için daha az karbon salıyor diyebilir miyiz?
Bilinclendirme,Kullanmadığım kıyafetleri çöpe atmak yerine ne yapmalıyım?
Vedalasma,Şimdilik kafam karışık ama araştıracağım. Hoşça kal.
Karbon_Ayak_İzi_Hesaplama,Atık tekstillerin imhası karbon salınımını artırır mı?
Yanlis_Bilgi_Duzeltme,Etik sertifikalar bile yanıltıcı olabilir.
Oneri_Alternatif,Doğa dostu bir gardırop oluşturmak için nereden başlamalıyım?
Yonetmelik_Politika,Denetimlerde hangi çevre belgeleri zorunlu hale geldi?
Teknik_Tekstil,Denizcilikte kullanılan kumaşlar çevreci mi?
Oneri_Alternatif,Geleneksel polyester yerine ne kullanmalıyım?
Surdurulebilirlik_Tanimi,Sürdürülebilir olmanın ön koşulları nedir?
Geri_Donusum,Tişörtümü geri dönüşümle yeniden üretmek mümkün mü?
Etiketleme_Sorusu,Etiketlerde renk kodları ne anlama gelir?
Surdurulebilirlik_Tanimi,Tekstil ürünlerinin yaşam döngüsünü nasıl uzatabiliriz?
Karbon_Ayak_İzi_Hesaplama,Yıkama ve kurutma süreçlerinin karbon ayak izine etkisi nedir?
Etiketleme_Sorusu,Etiketleme tüketici davranışını etkiler mi?
Surdurulebilirlik_Tanimi,Sürdürülebilirlik için hangi kriterler önemlidir?
Malzeme_Turu,Naylonun doğada yok olması ne kadar sürer?
Teknik_Tekstil,Fabrikalarda makinelerin üstü bu özel örtülerle neden kapatılıyor?
Teknik_Tekstil,Bu araç tavan döşemesi neden farklı bir kumaş gibi?
Yonetmelik_Politika,Çevre Şehircilik ve İklim Değişikliği Bakanlığı’nın tekstil atıklarına yönelik denetimleri nasıl işliyor?
Teknik_Tekstil,Yapı sektöründe kullanılan teknik kumaşlar geri dönüştürülebilir mi?
Etiketleme_Sorusu,Etiketteki bilgiler ne kadar güncel?
Karbon_Ayak_İzi_Hesaplama,Geri dönüştürülmüş malzeme kullanmak karbon ayak izini düşürür mü?
Yonetmelik_Politika,Avrupa pazarına girmek için geri dönüşüm oranı gibi kriterler gerekiyor mu?
Malzeme_Turu,Ayakkabı tabanında kullanılan EVA ve PU gibi malzemelerin doğada çözünürlüğü nedir?
Malzeme_Karbon_Ayak_Izi,Ayakkabılar da karbon ayak izi bırakıyor mu?
Cevre_Etkisi_Karsilastirma,Hangi tekstil materyali en az enerjiyle işlenebilir?
Malzeme_Karbon_Ayak_Izi,Hayvansal kaynaklı lifler ile bitkisel lifler arasında karbon farkı var mı?
Bilinclendirme,Sürdürülebilirlik yalnızca kumaş türüyle mi ilgilidir?
Geri_Donusum,Geri dönüştürülen ürünlerin karbon ayak izi düşer mi?
Malzeme_Turu,Üretim ülkesi kumaşın çevresel etkisini doğrudan etkiler mi?
Vedalasma,Zaman ayırdığınız için teşekkür ederim.
Yonetmelik_Politika,Politikalar tedarik zincirinde şeffaflığı zorunlu kılıyor mu?
Uretim_Sureci,Sulu ve kuru işlemler arasındaki fark nedir?
Karbon_Ayak_İzi_Hesaplama,Karbon ayak izi yüksek ürünlerin geri dönüşüm potansiyeli nedir?
Oneri_Alternatif,Kullanmadığım tişörtleri atmadan ne yapabilirim?
Bilinclendirme,"Sürdürülebilir tekstil, sosyal adaleti ve etik üretimi de kapsar."
Oneri_Alternatif,Doğal kaynakları koruyan malzemeler neler?
Teknik_Tekstil,Spor kıyafetlerinde neden farklı kumaşlar tercih ediliyor?
Yanlis_Bilgi_Duzeltme,"Geri dönüştürülmüş kumaşların kalitesiz olduğunu okudum, bu gerçek mi?"
Teknik_Tekstil,Spor ayakkabılardaki ağlı kısımlar neden böyle tasarlanmış?
Uretim_Sureci,Kıyafetlerin üretiminde en çok hangi aşama doğaya zarar veriyor?
Cevre_Etkisi_Karsilastirma,Çevreye en az zarar veren dolgu malzemesi nedir?
Bilinclendirme,Giysilerin yıkanması bile çevreye zarar verir mi?
Selamlama,"Sürdürülebilir tekstil kavramını duyuyorum, bana detay verebilir misin?"
Cevre_Etkisi_Karsilastirma,Aynı tasarıma sahip ürünlerden hangisi çevreye daha az zarar verir?
Karbon_Ayak_İzi_Hesaplama,Satın aldığım kıyafetlerin arkasındaki çevresel maliyeti nasıl öğrenebilirim?
Bilinclendirme,Kumaş tercihlerimiz çevreyi ne kadar etkiliyor?
Bilinclendirme,"Sürdürülebilir ürünler neden daha pahalı, bu fiyat farkı neye dayanıyor?"
Karbon_Ayak_İzi_Hesaplama,Tekstil ürünlerinde karbon ayak izi ile su ayak izi arasındaki fark nedir?
Uretim_Sureci,Giysilerin etiketinde sürdürülebilir yazıyor ama bu üretim sürecinde ne anlama geliyor?
Yonetmelik_Politika,Kumaş atıkları hangi kategoride sınıflandırılıyor?
Geri_Donusum,Tekstil atıklarını kompost yapmak mümkün mü?
Malzeme_Turu,Aynı lif farklı şekillerde işlenince çevresel etkisi değişiyor mu?
Uretim_Sureci,Bir tekstil ürününün dayanıklılığı üretimle nasıl ilişkilidir?
Vedalasma,Dilersen daha sonra devam ederiz
Oneri_Alternatif,"Hangi sertifikalar gerçekten güvenilir, hangilerini dikkate almalıyım?"
Oneri_Alternatif,Moda üretiminde alternatif sürdürülebilir çözümler önerir misin?
Vedalasma,"Kafamda çok soru oluştu, ama teşekkür ederim şimdilik."
Karbon_Ayak_İzi_Hesaplama,Kıyafetimin karbon etkisini nasıl hesaplarım?
Cevre_Etkisi_Karsilastirma,Doğal liflerin hasat süreci ile sentetik liflerin üretimi arasında çevresel etkiler nasıl değişir?
Selamlama,Doğa hakkında neler bilmek istersiniz?
Malzeme_Karbon_Ayak_Izi,Geri dönüştürülmüş polyester karbon salınımını azaltır mı?
Yanlis_Bilgi_Duzeltme,Bu alanda yaygın bir yanlış anlaşılma var.
Oneri_Alternatif,Kendi kıyafetimi üretmek sürdürülebilir olur mu?
Oneri_Alternatif,Kışlık mont alırken çevre dostu bir alternatif ne olabilir?
Geri_Donusum,Moda markaları geri dönüşüm konusunda ne kadar sorumlu?
Bilinclendirme,Doğal kumaşlar her zaman daha mı iyidir?
Yanlis_Bilgi_Duzeltme,Bu bilginin doğruluğu şüphelidir.
Teknik_Tekstil,Askeri kullanım için geliştirilen tekstil ürünleri teknik tekstil midir?
Cevre_Etkisi_Karsilastirma,Sıfır atık prensibiyle üretilmiş bir sweatshirt çevresel olarak fark yaratır mı?
Teknik_Tekstil,Yağmur geçirmeyen bu kumaşlar doğa dostu mu?
Oneri_Alternatif,"Bambu mu, kenevir mi daha sürdürülebilir bir alternatif olur?"
Etiketleme_Sorusu,Etiketteki sürdürülebilirlik sertifikaları nelerdir?
Selamlama,Doğaya dost bilgiler için buradayım.
Malzeme_Karbon_Ayak_Izi,Liflerin yetiştirilmesindeki su kullanımı karbon ayak izini artırır mı?
Oneri_Alternatif,Hangi kumaşlar daha az su tüketir?
Selamlama,Size nasıl yardımcı olabilirim?
Uretim_Sureci,Üretim verimliliği çevreye nasıl etki eder?
Selamlama,Selam!
Uretim_Sureci,Enerji tüketimi hangi aşamada en yüksektir?
Teknik_Tekstil,Ses yalıtımı sağlayan tekstil ürünleri var mı?
Selamlama,Yardımcı olur musun?
Selamlama,Bugün sürdürülebilirliği konuşalım mı?
Vedalasma,"Bu sohbet için teşekkür ederim, umarım yakında tekrar görüşürüz."
Bilinclendirme,Kıyafet üretiminde enerji kullanımı ne kadar önemli?
Cevre_Etkisi_Karsilastirma,Teknik tekstil ürünleri çevreye zarar verir mi?
Malzeme_Karbon_Ayak_Izi,Karbon ayak izini azaltmak için giyim alışkanlıklarımı nasıl değiştirebilirim?
Oneri_Alternatif,Kullanmadığım kazakları nasıl değerlendirebilirim?
Vedalasma,"Konuşmamız çok faydalıydı, yakında görüşürüz."
Vedalasma,Bugünlük bu kadar olsun
Cevre_Etkisi_Karsilastirma,Nano kaplamalı kumaşlar çevresel açıdan riskli midir?
Bilinclendirme,Tüketim alışkanlıklarımız çevreyi doğrudan etkiler
Malzeme_Karbon_Ayak_Izi,Daha az karbon salan tekstil üretim teknikleri geliştiren firmalar var mı?
Karbon_Ayak_İzi_Hesaplama,Kullanılan enerji türü hesaplamayı nasıl etkiler?
Cevre_Etkisi_Karsilastirma,Organik pamuk ile geleneksel pamuk arasında çevresel farklar neler?
Malzeme_Karbon_Ayak_Izi,Kumaşın ne kadar süre dayanacağı karbon ayak izinde etkili midir?
Vedalasma,Görüşmek dileğiyle
Vedalasma,Sonraki sohbette görüşürüz
Geri_Donusum,Geri dönüştürülmüş tekstil ürünleri nasıl etiketleniyor?
Etiketleme_Sorusu,"Etiketlerdeki sertifikalarla ilgili bir rehber olsa keşke, hangisi ne anlama geliyor karıştırıyorum."
Cevre_Etkisi_Karsilastirma,Ürünlerin taşınma süreci çevre üzerindeki etkide ne kadar rol oynar?
Oneri_Alternatif,Hangi kumaşlar karbon ayak izini azaltır?
Yonetmelik_Politika,Tekstil sektöründe sürdürülebilirlikle ilgili hangi yönetmelikler var?
Malzeme_Turu,Hastanelerdeki kıyafetler doğaya zararlı mı?
Surdurulebilirlik_Tanimi,Tekstil sektöründe su tüketimini azaltmak için hangi teknolojiler uygulanıyor
Yanlis_Bilgi_Duzeltme,"Karbon nötr giyim demek, üretim sırasında hiç emisyon salınmıyor demek mi?"
Geri_Donusum,Geri dönüştürülmüş tekstillerde kimyasal kalıntı riski var mı?
Yonetmelik_Politika,Tekstil alanında çevre mevzuatları yeterli mi?
Teknik_Tekstil,Sporcuların kıyafetleri neden farklı bir kumaştan yapılıyor?
Cevre_Etkisi_Karsilastirma,Sentetik kumaşlar ile doğal liflerin çevresel etkisi nasıl karşılaştırılır?
Yonetmelik_Politika,Sürdürülebilirlik belgesi olmayan firmalar ihracat yapabiliyor mu?
Vedalasma,"Seninle sohbet etmek çok güzeldi, görüşmek üzere."
Vedalasma,Tekrar görüşmek dileğiyle.
Geri_Donusum,Kumaş karışımları geri dönüşümde sorun yaratır mı?
Karbon_Ayak_İzi_Hesaplama,Bu ürünün karbon ayak izi neye göre hesaplanıyor?
Etiketleme_Sorusu,"Etikette “eko” yazıyor, bu ne demek?"
Uretim_Sureci,Üretim sırasında su tüketimi ne kadardır?
Teknik_Tekstil,Teknik tekstil için uluslararası sürdürülebilirlik çalışmaları var mı?
Vedalasma,Umarım faydalı olmuştur.
Malzeme_Turu,Suni ipekle doğal ipek arasında fark nedir?
Surdurulebilirlik_Tanimi,Kaynakların tükenmesini önlemek için hangi adımlar atılmalı?
Malzeme_Turu,Giyside kullanılan malzeme ne tür bir lif içeriyor?
Uretim_Sureci,Üretim zincirinin çevresel etkisi nasıl analiz edilir?
Selamlama,Sorularımı cevaplar mısın?
Vedalasma,"Teşekkürler chatbot, artık alışverişte daha bilinçli olacağım."
Bilinclendirme,Atık üretimini azaltmanın önemi hakkında bilgi verir misin?
Bilinclendirme,Sürdürülebilir modanın tam olarak neyi kapsadığını merak ediyorum.
Cevre_Etkisi_Karsilastirma,Geri dönüştürülmüş polyester çevreye ne kadar katkı sağlar?
Geri_Donusum,"Bu ürün gerçekten geri dönüştürülmüş mü, nasıl anlarım?"
